increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,545512.6345,23.487397,2.00
2,6.0960,64701.3438,2.785758,4.00
3,9.1440,28094.6980,1.209635,6.00
4,12.1920,45218.8635,1.946927,8.00
5,15.2400,48366.3646,2.082445,10.00
6,18.2880,58797.0869,2.531546,12.00
7,21.3360,71463.5895,3.076911,14.00
8,24.3840,84232.0490,3.626665,16.00
9,27.4320,99296.0827,4.275257,18.00
10,30.4800,115500.2515,4.972937,20.00
11,33.5280,133144.6139,5.732627,22.00
12,36.5760,153073.5566,6.590680,24.00
13,39.6240,175115.3285,7.539703,26.00
14,42.6720,199306.6300,8.581275,28.00
15,45.7200,225808.6137,9.722335,30.00
