increment,displacement_mm,reaction_force_N,nominal_stress_MPa,nominal_strain_pct
0,0.0000,0.0000,0.000000,0.00
1,3.0480,10249.7409,0.441309,2.00
2,6.0960,20492.7131,0.882327,4.00
3,9.1440,30382.3177,1.308130,6.00
4,12.1920,41443.8948,1.784393,8.00
5,15.2400,52431.5861,2.257476,10.00
6,18.2880,64372.7715,2.771611,12.00
7,21.3360,77508.7675,3.337190,14.00
8,24.3840,92217.1950,3.970471,16.00
9,27.4320,107895.9988,4.645531,18.00
10,30.4800,126151.6502,5.431540,20.00
11,33.5280,147343.3989,6.343965,22.00
12,36.5760,169026.4930,7.277544,24.00
13,39.6240,193725.0038,8.340954,26.00
14,42.6720,221401.0991,9.532566,28.00
15,45.7200,251074.8175,10.810187,30.00
