index,name,porosity_pct,k_eff_W_per_mK,k_ratio,R_thermal_K_per_W,Q_total_W,permeability_m2,avg_velocity_m_per_s,flow_rate_m3_per_s,n_streamlines
1,KimSurface_001_20260406,80.4,9.086130,0.045431,0.7222,110.7781,4.406607e-01,304046340.948429,3.710315e+05,73
2,KimSurface_002_20260406,86.2,0.000000,0.000000,74047743.9197,0.0000,6.065672e-01,261915824.328679,5.107229e+05,71
3,KimSurface_003_20260406,85.2,0.718778,0.003594,9.1289,8.7633,5.922985e-01,282411637.636271,4.987088e+05,75
4,KimSurface_004_20260406,84.7,0.000000,0.000000,37904465.2656,0.0000,5.073137e-01,267720095.360775,4.271525e+05,73
5,KimSurface_005_20260406,79.1,10.404030,0.052020,0.6307,126.8459,0.000000e+00,56302591.055129,0.000000e+00,71
6,KimSurface_006_20260406,80.0,1.457106,0.007286,4.5032,17.7650,4.369255e-01,340899304.993371,3.678865e+05,70
7,KimSurface_007_20260406,85.3,0.000791,0.000004,8297.0277,0.0096,5.773218e-01,252683177.256406,4.860986e+05,72
8,KimSurface_008_20260406,87.7,2.779318,0.013897,2.3609,33.8854,5.583621e-01,197373927.653257,4.701347e+05,77
9,KimSurface_009_20260406,81.5,0.000011,0.000000,588651.3772,0.0001,4.238133e-01,327099431.881594,3.568461e+05,72
10,KimSurface_010_20260406,75.0,16.655797,0.083279,0.3940,203.0675,3.049716e-01,349401441.556964,2.567827e+05,69
